"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 2,  0.0274,  0.4040,  0.9295769E+00,  0.9295769E+00, -0.2580568E+00, -0.2580564E+00, -0.5043071E+00, -0.5051494E+00
 2,  0.0332,  0.4040,  0.9279657E+00,  0.9279657E+00, -0.3123014E+00, -0.3123010E+00, -0.6103145E+00, -0.6113280E+00
 2,  0.0401,  0.4040,  0.9256316E+00,  0.9256316E+00, -0.3771665E+00, -0.3771660E+00, -0.7370771E+00, -0.7383023E+00
 2,  0.0484,  0.4040,  0.9222718E+00,  0.9222718E+00, -0.4543506E+00, -0.4543500E+00, -0.8879139E+00, -0.8893895E+00
 2,  0.0582,  0.4040,  0.9174718E+00,  0.9174718E+00, -0.5456357E+00, -0.5456349E+00, -0.1066308E+01, -0.1068080E+01
 2,  0.0698,  0.4040,  0.9106766E+00,  0.9106766E+00, -0.6527887E+00, -0.6527878E+00, -0.1275711E+01, -0.1277831E+01
 2,  0.0834,  0.4040,  0.9011606E+00,  0.9011606E+00, -0.7774057E+00, -0.7774046E+00, -0.1519244E+01, -0.1521769E+01
 2,  0.0993,  0.4040,  0.8880053E+00,  0.8880053E+00, -0.9206875E+00, -0.9206862E+00, -0.1799252E+01, -0.1802242E+01
 2,  0.1176,  0.4040,  0.8700932E+00,  0.8700932E+00, -0.1083141E+01, -0.1083140E+01, -0.2116727E+01, -0.2120245E+01
 2,  0.1385,  0.4040,  0.8461340E+00,  0.8461340E+00, -0.1264220E+01, -0.1264218E+01, -0.2470599E+01, -0.2474706E+01
 2,  0.1620,  0.4040,  0.8147383E+00,  0.8147383E+00, -0.1461942E+01, -0.1461940E+01, -0.2856998E+01, -0.2861746E+01
 2,  0.1883,  0.4040,  0.7745525E+00,  0.7745525E+00, -0.1672565E+01, -0.1672563E+01, -0.3268608E+01, -0.3274041E+01
 2,  0.2170,  0.4040,  0.7244566E+00,  0.7244566E+00, -0.1890432E+01, -0.1890430E+01, -0.3694375E+01, -0.3700514E+01
 2,  0.2480,  0.4040,  0.6638045E+00,  0.6638045E+00, -0.2108111E+01, -0.2108108E+01, -0.4119772E+01, -0.4126619E+01
 2,  0.2809,  0.4040,  0.5926620E+00,  0.5926620E+00, -0.2316926E+01, -0.2316923E+01, -0.4527850E+01, -0.4535375E+01
 2,  0.3151,  0.4040,  0.5119731E+00,  0.5119731E+00, -0.2507891E+01, -0.2507887E+01, -0.4901041E+01, -0.4909186E+01
 2,  0.3500,  0.4040,  0.4235893E+00,  0.4235893E+00, -0.2672878E+01, -0.2672875E+01, -0.5223468E+01, -0.5232149E+01
 2,  0.3849,  0.4040,  0.3301232E+00,  0.3301232E+00, -0.2805797E+01, -0.2805793E+01, -0.5483223E+01, -0.5492336E+01
 2,  0.4191,  0.4040,  0.2346437E+00,  0.2346437E+00, -0.2903431E+01, -0.2903427E+01, -0.5674025E+01, -0.5683455E+01
 2,  0.4520,  0.4040,  0.1402834E+00,  0.1402834E+00, -0.2965741E+01, -0.2965737E+01, -0.5795795E+01, -0.5805427E+01
 2,  0.4830,  0.4040,  0.4985930E-01,  0.4985930E-01, -0.2995555E+01, -0.2995551E+01, -0.5854059E+01, -0.5863788E+01
 2,  0.5117,  0.4040, -0.3440764E-01, -0.3440764E-01, -0.2997801E+01, -0.2997797E+01, -0.5858448E+01, -0.5868184E+01
 2,  0.5380,  0.4040, -0.1110269E+00, -0.1110269E+00, -0.2978527E+01, -0.2978523E+01, -0.5820782E+01, -0.5830456E+01
 2,  0.5615,  0.4040, -0.1792330E+00, -0.1792330E+00, -0.2943972E+01, -0.2943968E+01, -0.5753254E+01, -0.5762815E+01
 2,  0.5824,  0.4040, -0.2388802E+00, -0.2388802E+00, -0.2899857E+01, -0.2899853E+01, -0.5667042E+01, -0.5676460E+01
 2,  0.6007,  0.4040, -0.2902864E+00, -0.2902864E+00, -0.2850961E+01, -0.2850957E+01, -0.5571486E+01, -0.5580745E+01
 2,  0.6166,  0.4040, -0.3340725E+00, -0.3340725E+00, -0.2800960E+01, -0.2800956E+01, -0.5473772E+01, -0.5482869E+01
 2,  0.6302,  0.4040, -0.3710229E+00, -0.3710229E+00, -0.2752464E+01, -0.2752460E+01, -0.5378999E+01, -0.5387939E+01
 2,  0.6418,  0.4040, -0.4019796E+00, -0.4019796E+00, -0.2707156E+01, -0.2707153E+01, -0.5290456E+01, -0.5299248E+01
 2,  0.6516,  0.4040, -0.4277708E+00, -0.4277708E+00, -0.2665986E+01, -0.2665982E+01, -0.5209998E+01, -0.5218657E+01
